Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
ACM Symposium on User Interface Software and Technology,UIST,A*,A*,A,A,A,A,A,A,51.0,72.0
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B,B,,,,,,,,
3-D Digital Imaging and Modelling,3DIM,,,,C,C,C,C,C,,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,,,,C,C,C,C,C,,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,C,C,C,C,C,C,C,,
ACM Annual Computer Science Conference,CSC,,,,C,C,C,C,C,,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,A*,A*,A*,A*,A*,A*,A,,
ACM Conference on Computer Supported Cooperative Work,CSCW,A,A,A,A,A,A,A,A,24.0,31.0
ACM Conference on Computer and Communications Security,CCS,A*,A*,A*,A*,A*,A*,A*,A,92.0,136.0
ACM Conference on Digital Libraries,JCDL,,,,A*,A*,A*,A*,,23.0,33.0
ACM Conference on Economics and Computation,EC,A*,A*,A*,A*,B,B,B,B,3.0,3.0
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,A*,A*,A*,A*,A*,A*,A,39.0,64.0
ACM Conference on Embedded Software,EMSOFT,Journal published,Journal published,A,A,A,A,A,A,,
ACM Conference on Hypertext and Social Media,Hypertext,,,,A,A,A,A,A,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,A,A*,A*,A*,A*,A*,A,,
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B,,,,,,,,,
ACM Digital Rights Management Workshop,DRM,,,,C,C,C,C,C,,
ACM Information Technology Education,SIGITE,National: USA,National: USA,National: USA,C,C,C,C,C,,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,TBR,,,,,,,,40.0,62.0
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,C,B,B,B,B,B,B,B,,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,A,National: USA,A,B,B,B,B,,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,A,A,A,A,A,A,A,30.0,43.0
ACM International Conference on Information and Knowledge Management,CIKM,A,A,A,A,A,A,A,A,91.0,133.0
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,Journal Published,Journal Published,A,A,A,A,B,B,14.0,19.0
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,A*,A*,A*,A*,A*,A*,A,124.0,213.0
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,A*,A*,A*,A*,A*,A*,A,24.0,42.0
ACM International Conference on Recommender Systems,RecSys,A,A,B,B,B,B,B,B,53.0,81.0
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,A*,A*,A*,A*,A*,A*,A,103.0,149.0
ACM International Conference on Supercomputing,ICS,A,A,A,A,A,A,A,A,26.0,37.0
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,,,,A,,,,,,
ACM International Conference on Web Search and Data Mining,WSDM,A,A*,A*,A*,A*,A*,B,B,77.0,130.0
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,A*,A*,A*,B,A,A,A,62.0,103.0
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,journal published,journal published,journal published,A*,A*,A*,A*,A,27.0,44.0
ACM International Symposium on Computer Architecture,ISCA,A*,A*,A*,A*,A*,A*,A*,A,62.0,96.0
