Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
Algorithmic Learning Theory,ALT,B,B,B,B,B,B,A,A,34.0,52.0
Algorithms and Complexity in Durham,ACID,,,,C,C,C,C,C,,
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,B,B,B,B,B,A,A,14.0,17.0
Algorithms and Experiments,ALEX,,,,B,B,B,B,,,
Ambient Intelligence Developments,Aml.d,,,,C,C,C,C,C,,
American Federation of Information Processing Societies,AFIPS,,,,A,,,,C,,
American Medical Informatics Annual Fall Symposium,AMIA,National: USA,National: USA,National: USA,A,A,A,A,,,
Americas Conference on Information Systems,AMCIS,,,,A,A,A,A,A,29.0,43.0
Annual Computer Security Applications Conference,ACSAC,A,National: usa,National: usa,A,A,A,A,A,,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,,,,Australasian,Australasian,Australasian,Australasian,C,,
Annual Conference of the International Academy for Information Management,IAIM,,,,C,C,C,C,C,,
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,,,,,,A,A,A,,
Annual Conference on Computer Science Logic,CSL,B,B,B,B,B,B,B,,16.0,19.0
Annual Conference on Evolutionary Programming,EP,,,,C,C,C,C,C,,
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,A,A,A,A,A,A,A,,
"Annual Conference on Privacy, Security and Trust",PST,C,C,C,C,C,C,C,C,,
"Annual Convention for Survey, Mapping and Remote Sensing",RS,,,,C,C,C,C,C,,
Annual Fall Workshop on Computational Geometry,CGW,,,,C,C,C,C,C,,
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,,,,,,C,C,,,
Annual International Conference on Ada,TRI-Ada,,,,C,C,C,C,C,,
Annual International Workshop on Presence,ISPR,C,B,B,B,B,B,B,B,,
Annual Meeting of the Cognitive Science Society,CogSci,B,A,A,A,A,A,A,A,32.0,46.0
Annual Meeting of the Decision Sciences Institute,DSI,,,,C,C,C,C,C,,
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,B,C,C,C,C,C,C,31.0,48.0
Annual PKI R&D Workshop,PKI,,,,C,C,C,C,C,,
Annual PPIG Workshop,PPIG,,,,B,B,B,B,B,,
Annual Simulation Symposium,ANSS,,,,B,B,C,C,C,13.0,21.0
AoM Organizational Communication and Information Systems,OCIS,,,,A,A,A,A,A,,
Apple University Consortium Academic and Developers Conference,AUCADC,,,,C,C,C,C,C,,
Application of Computers and Operations Research in the Minerals Industries,APCOMin,,,,A,A,A,A,A,,
Application of Concurrency to System Design,ACSD,,B,B,B,B,B,B,B,,
Applications of Information Visualization,IV-App,C,C,C,C,C,C,C,C,,
Applications of Natural Language to Data Bases,NLDB,C,C,C,C,C,C,C,C,18.0,28.0
Applied Computing Conference,ACC,C,C,C,C,C,C,C,C,133.0,171.0
Applied Perception in Graphics and Visualization,APGV,,,,C,C,C,C,C,,
