Title,Acronym_x,CORE,ERA Score,Acronym_y,h5_index,h5_median
International Conference on Advanced Communications and Computation,INFOCOMP,Unranked,,INFOCOMP,48.0,68.0
"International Conference on Ambient Systems, Networks and Technologies",ANT,Unranked,,ANT,,
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B,,HCOMP,,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,C,SERA,,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,A,SIGCOMM,,
ACM Conference on Computer and Communications Security,CCS,A*,A,CCS,92.0,136.0
ACM Conference on Computer Supported Cooperative Work,CSCW,A,A,CSCW,24.0,31.0
ACM Conference on Economics and Computation,EC,A*,,EC,3.0,3.0
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,A,SENSYS,39.0,64.0
ACM Conference on Embedded Software,EMSOFT,Journal published,A,EMSOFT,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,A,OOPSLA,,
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B,,ACM_WiSec,,
ACM Information Technology Education,SIGITE,National: USA,C,SIGITE,,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,TBR,,FPGA,40.0,62.0
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,C,,ACE,,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,B,SIGSPATIAL,,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,,CoNEXT,30.0,43.0
ACM International Conference on Information and Knowledge Management,CIKM,A,A,CIKM,91.0,133.0
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,Journal Published,,ISS,,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,A,KDD,124.0,213.0
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,A,MOBICOM,24.0,42.0
ACM International Conference on Recommender Systems,RecSys,A,,RecSys,53.0,81.0
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,A,SIGIR,103.0,149.0
ACM International Conference on Supercomputing,ICS,A,A,ICS,26.0,37.0
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,,FSE,,
ACM International Conference on Web Search and Data Mining,WSDM,A,B,WSDM,77.0,130.0
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,journal published,,UbiComp,27.0,44.0
ACM International Symposium on Computer Architecture,ISCA,A*,A,ISCA,62.0,96.0
ACM International Symposium on High Performance Distributed Computing,HPDC,A,A,HPDC,21.0,34.0
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,B,IWCMC,35.0,49.0
ACM Multimedia,ACMMM,A*,A,ACMMM,101.0,138.0
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,,SIGGRAPH,,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,,SCA,,
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,,Mobisys,,
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,,PODS,24.0,30.0
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,,SOSP,,
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B,,LCTES,,
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C,,PEPM,,
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,,PADS,,
ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA,,SIGUCCS,,
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,A,SIGCSE,,
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,A,SIGMOD,,
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,,Group,,
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C,,SACMAT,16.0,28.0
ACM Symposium on Applied Computing,SAC,Multiconference,B,SAC,36.0,50.0
ACM Symposium on Document Engineering,DocEng,B,,DocEng,13.0,21.0
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,,MOBIHOC,24.0,42.0
ACM Symposium on Principles of Distributed Computing,PODC,A*,A,PODC,30.0,51.0
ACM Symposium on Solid and Physical Modelling,SPM,C,B,SPM,,
ACM Symposium on Theory of Computing,STOC,A*,A,STOC,57.0,84.0
ACM Symposium on User Interface Software and Technology,UIST,A*,A,UIST,51.0,72.0
ACM Virtual Reality Software and Technology,VRST,A,A,VRST,26.0,38.0
ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,A,HOTNETS,22.0,32.0
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,A,POPL,,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,A,PLDI,51.0,82.0
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B,,I3DG,,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A,,HRI,54.0,76.0
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,A,MSWIM,,
ACM/IEEE Symposium on Edge Computing,SEC,unranked,,SEC,17.0,26.0
ACM/IFIP/USENIX International Middleware Conference,Middleware,A,,Middleware,,
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,A,SODA,55.0,77.0
ACM/SPEC International Conference on Performance Engineering,ICPE,B,,ICPE,23.0,32.0
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C,C,AICCSA,,
Advanced Concepts for Intelligent Vision Systems,ACIVS,B,B,ACIVS,,
Advanced Visual Interfaces,AVI,B,B,AVI,15.0,22.0
Advances in Cryptology,CRYPTO,A*,A,CRYPTO,61.0,95.0
Advances in Modal Logic,AiML,B,,AiML,,
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,,NeurIPS,,
Algorithmic Learning Theory,ALT,B,A,ALT,34.0,52.0
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,A,WADS,14.0,17.0
American Medical Informatics Annual Fall Symposium,AMIA,National: USA,,AMIA,,
Annual Computer Security Applications Conference,ACSAC,A,A,ACSAC,,
Annual Conference on Computer Science Logic,CSL,B,,CSL,16.0,19.0
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,A,ITiCSE,,
"Annual Conference on Privacy, Security and Trust",PST,C,C,PST,,
Annual International Workshop on Presence,ISPR,C,B,ISPR,,
Annual Meeting of the Cognitive Science Society,CogSci,B,,CogSci,32.0,46.0
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,,SIGdial,31.0,48.0
Applications of Information Visualization,IV-App,C,C,IV-App,,
Applications of Natural Language to Data Bases,NLDB,C,C,NLDB,18.0,28.0
Applied Computing Conference,ACC,C,C,ACC,133.0,171.0
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,A,ASPLOS,71.0,122.0
Artificial Intelligence Applications and Innovations,AIAI,C,,AIAI,25.0,36.0
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,,ArtsIT,,
Asia and South Pacific Design Automation Conference,ASPDAC,C,,ASPDAC,38.0,45.0
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,,AsiaCCS,,
Asia Pacific Conference on Communications,APCC,C,B,APCC,11.0,17.0
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C,,IES,,
Asia-Pacific Bioinformatics Conference,APBC,B,B,APBC,,
Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian C,B,APCCM,,
Asia-Pacific Network Operations and Management Symposium,APNOMS,C,C,APNOMS,,
Asia-Pacific Services Computing Conference,APSCC,C,C,APSCC,,
Asia-Pacific Software Engineering Conference,APSEC,C,C,APSEC,16.0,25.0
Asian Conference on Computer Vision,ACCV,B,B,ACCV,39.0,64.0
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B,,ACIIDS,19.0,32.0
Asian Conference on Machine Learning,ACML,Unranked,,ACML,23.0,43.0
ASIAN Symposium on Programming Languages and Systems,APLAS,B,B,APLAS,,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA,C,ACSSC,33.0,49.0
Association for Computational Linguistics,ACL,A*,,ACL,215.0,362.0
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,C,B,CAADRIA,,
Australasian Computing Education Conference (ACE),ACE,Australasian B,,ACE,,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C,C,ACCMCC,,
Australasian Conference on Information Security and Privacy,ACISP,Australasian B,B,ACISP,17.0,23.0
Australasian Conference on Robotics and Automation,ACRA,Australasian C,B,ACRA,,
Australasian Database Conference,ADC,Australasian B,B,ADC,,
Australasian Document Computing Symposium,ADCS,Australasian B,,ADCS,,
Australasian Information Security Conference,AISC,Australasian C,B,AISC,17.0,23.0
Australasian Joint Conference on Artificial Intelligence,AI,Australasian B,B,AI,,
Australasian Language Technology Workshop,ALTA,Australasian C,,ALTA,11.0,16.0
Australasian Speech Science and Technology,SST,Australasian C,B,SST,,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,,AusPDC,,
Australian Computer Human Interaction Conference,OZCHI,Australasian B,B,OZCHI,18.0,24.0
Australian Data Mining Conference,AusDM,Australasian C,,AusDM,,
Australian Institute of Computer Ethics Conference,AICE,Australasian C,C,AICE,,
Automated Software Engineering Conference,ASE,A*,A,ASE,54.0,74.0
Automation of Software Test,AST,C,C,AST,,
Body Sensor Networks,BSN,C,C,BSN,15.0,22.0
British Computer Society Conference on Human-Computer Interaction,HCI,National,A,HCI,5.0,5.0
British Machine Vision Conference,BMVC,A,B,BMVC,65.0,109.0
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,Journal Published,,CHI PLAY,,
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C,C,CTW,,
Combinatorial Pattern Matching,CPM,B,B,CPM,13.0,17.0
Computability in Europe: Logic and Theory of Algorithms,CiE,C,,CiE,9.0,12.0
Computational Intelligence in Security for Information Systems,CISIS,National: Spain,B,CISIS,11.0,17.0
Computer Aided Verification,CAV,A*,A,CAV,38.0,57.0
Computer Algebra in Scientific Computing,CASC,B,,CASC,9.0,11.0
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,C,CAivDE,,
Computer Graphics International,CGI,C,B,CGI,59.0,92.0
Computer Sciences and Information Technologies,CSIT,National,,CSIT,25.0,33.0
Conference for the International Simulation and Gaming Association,ISAGA,C,C,ISAGA,,
Conference in Uncertainty in Artificial Intelligence,UAI,A,A,UAI,56.0,87.0
Conference of the Association for Machine Translation in the Americas,AMTA,National/Regional,B,AMTA,,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C,C,APORS,,
Conference of the European Association for Machine Translation,EAMT,C,B,EAMT,17.0,31.0
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C,,EUSFLAT,,
Conference on Agile Software Development,XP,B,,XP,24.0,36.0
Conference on Algebra and Coalgebra in Computer Science,CALCO,B,,CALCO,,
Conference on Algorithmic Aspects in Information and Management,AAIM,C,C,AAIM,,
Conference on Combinatorial Optimization and Applications,COCOA,C,B,COCOA,9.0,14.0
Conference on Computational Natural Language Learning,CoNLL,B,,CoNLL,39.0,60.0
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,Multi-conference,,FedCSIS,,
Conference on File and Storage Technologies,FAST,A,,FAST,39.0,66.0
Conference on Fun with Algorithms,FUN,National: Italy,B,FUN,,
Conference on Games (was Computational Intelligence and Games CIG),COG,C,,COG,,
Conference on Information Sciences and Systems,CISS,National: USA,C,CISS,21.0,41.0
"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,,ICIN,17.0,30.0
Conference on Innovative Data Systems Research,CIDR,A,A,CIDR,32.0,49.0
Conference on Integer Programming and Combinatorial Optimization,IPCO,A,A,IPCO,,
Conference on Intelligent Computer Mathematics,CICM,C,,CICM,3.0,4.0
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,,ITP,,
Conference on Learning Theory,COLT,A*,,COLT,74.0,103.0
Conference on Robot Learning,CoRL,Unranked,,CoRL,88.0,150.0
Conference on Security and Cryptography for Networks,SCN,National: Italy,B,SCN,,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C,,CSEET,,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,B,SOFTCOM,,
Conference on Theory and Applications of Models of Computation,TAMC,C,B,TAMC,11.0,24.0
Conference on Visualization and Data Analysis,VDA,National: USA,C,VDA,,
"Cooperative Design, Visualization, and Engineering",CDVE,C,C,CDVE,8.0,8.0
Cryptographers Track at RSA Conference,CT-RSA,B,,CT-RSA,23.0,50.0
Current Trends in Theory and Practice of Computer Science,SOFSEM,B,B,SOFSEM,,
Data Compression Conference,DCC,B,A,DCC,24.0,39.0
Data Warehousing and Knowledge Discovery,DaWaK,B,,DaWaK,12.0,20.0
"Datenbanksysteme für Business, Technologie und Web",BTW,National:Germany,,BTW,14.0,18.0
Design Automation Conf,DAC,TBR,,DAC,60.0,85.0
"Design, Automation and Test in Europe Conference",DATE,B,B,DATE,46.0,71.0
Designing Interactive Systems,DIS,A,B,DIS,49.0,62.0
Developments in eSystems Engineering,DeSE,C,,DeSE,18.0,27.0
Developments in Language Theory,DLT,C,B,DLT,8.0,10.0
Digital Audio Effects Conference,DAFX,C,,DAFX,,
Digital Games Research Conference,DIGRA,C,C,DIGRA,,
Digital Image Computing Techniques and Applications,DICTA,Australasian C,B,DICTA,20.0,29.0
Discovery Science,DS,B,,DS,34.0,43.0
DNA Computing and Molecular Programming,DNA,B,,DNA,,
Dynamic Languages Symposium,DLS,C,B,DLS,,
Educational Data Mining,EDM,B,B,EDM,32.0,45.0
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,,EMAS,,
Empirical Methods in Natural Language Processing,EMNLP,A*,A,EMNLP,193.0,310.0
Engineering Interactive Computing Systems,EICS,Journal Published,,EICS,12.0,16.0
ETHICOMP Conference,ETHICOMP,C,B,ETHICOMP,,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,,EATIS,,
Euro Virtual Reality,Euro VR,C,,Euro VR,,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C,C,EUroComb,,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C,B,EGPGV,,
Eurographics/IEEE Symposium on Visualization,EuroVis,B,,EuroVis,,
