Title,Acronym,Rank
International Conference on Advanced Communications and Computation,INFOCOMP,Unranked
"International Conference on Ambient Systems, Networks and Technologies",ANT,Unranked
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*
ACM Conference on Computer and Communications Security,CCS,A*
ACM Conference on Computer Supported Cooperative Work,CSCW,A
ACM Conference on Economics and Computation,EC,A*
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*
ACM Conference on Embedded Software,EMSOFT,Journal published
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B
ACM Information Technology Education,SIGITE,National: USA
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,TBR
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,C
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A
ACM International Conference on Information and Knowledge Management,CIKM,A
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,Journal Published
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*
ACM International Conference on Recommender Systems,RecSys,A
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*
ACM International Conference on Supercomputing,ICS,A
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*
ACM International Conference on Web Search and Data Mining,WSDM,A
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,journal published
ACM International Symposium on Computer Architecture,ISCA,A*
ACM International Symposium on High Performance Distributed Computing,HPDC,A
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B
ACM Multimedia,ACMMM,A*
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B
ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C
ACM Symposium on Applied Computing,SAC,Multiconference
ACM Symposium on Document Engineering,DocEng,B
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A
ACM Symposium on Principles of Distributed Computing,PODC,A*
ACM Symposium on Solid and Physical Modelling,SPM,C
ACM Symposium on Theory of Computing,STOC,A*
ACM Symposium on User Interface Software and Technology,UIST,A*
ACM Virtual Reality Software and Technology,VRST,A
ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A
ACM/IEEE Symposium on Edge Computing,SEC,unranked
ACM/IFIP/USENIX International Middleware Conference,Middleware,A
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*
ACM/SPEC International Conference on Performance Engineering,ICPE,B
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C
Advanced Concepts for Intelligent Vision Systems,ACIVS,B
