Title,ERA Score
1st International Conference on Building Energy and Environment COBEE,Not ranked
1st International Conference on Engineering Management ICEM,Not ranked
2008 International Conference on Biomedical Robotics and Biomechatronics BIO ROB,B
AAEE - Annual Conference of Australasian Association for Engineering Education,B
Accelerating excellence in the built environment World Conference WCAEBE,C
Accounting and Finance Association of Australia and New Zealand Conference AFAANZ,C
"ACIS Conference on Software Engineering Research, Management and Applications SERA",C
ACM Annual Computer Science Conference CSC,C
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication SIGCOMM",A
ACM Conference on Computer and Communications Security CCS,A
ACM Conference on Computer Supported Cooperative Work CSCW,A
ACM Conference on Electronic Commerce EC,B
ACM Conference on Embedded Networked Sensor Systems SENSYS,A
ACM Conference on Embedded Software EMSOFT,A
ACM Conference on Hypertext and Hypermedia Hypertext,A
ACM Conference on Object Oriented Programming Systems Languages and Applications OOPSLA,A
ACM Creativity and Cognition CC,A
ACM Digital Rights Management Workshop DRM,C
ACM Information Technology Education SIGITE,C
ACM International Conference on Advances in Geographic Information Systems SIGSPATIAL,B
ACM International Conference on Digital Interactive Media in Entertainment and Arts DIMEA,B
ACM International Conference on Emerging Networking Experiments and Technologies CoNEXT,A
ACM International Conference on Information and Knowledge Management CIKM,A
ACM International Conference on Knowledge Discovery and Data Mining SIGKDD,A
ACM International Conference on Mobile Computing and Networking MOBICOM,A
ACM International Conference on Recommender Systems RecSys,B
ACM International Conference on Research and Development in Information Retrieval SIGIR,A
ACM International Conference on Supercomputing ICS,A
ACM International Conference on Web Search and Data Mining WSDM,B
ACM International Symposium on Computer Architecture ISCA,A
ACM International Symposium on High Performance Distributed Computing HPDC,A
ACM International Wireless Communications and Mobile Computing Conference IWCMC,B
ACM International Workshop On Multimedia Databases MMDB,C
ACM International Workshop on. Mobility Management and Wireless Access MobiWac,B
ACM Multimedia ACMMM,A
ACM SIG International Conference on Computer Graphics and Interactive Techniques SIGGRAPH,A
ACM SIG on Computer and Communications Metrics and Performance SIGMETRICS,A
ACM SIGCHI_NZ Conference on Human-Computer Interaction CHINZ,C
ACM SIGCOMM Internet Measurement Conference ACM IMC,A
ACM SIGGRAPH/Eurographics Symposium on Computer Animation SCA,B
ACM SIGIR Workshop on XML and Information Retrieval SIGIR/XML,C
ACM SIGMM International Workshop on Multimedia Information Retrieval MIR,B
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services Mobisys",B
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems PODS,A
ACM SIGOPS European Workshops SIGOPS-EW,C
ACM SIGOPS Symposium on Operating Systems Principles SOSP,A
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems LCTES",A
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation PEPM,B
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC) TLDI,C
ACM SIGSOFT International Symposium on the Foundations of Software Engineering FSE,A
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering PASTE,B
ACM SIGUCCS Conference on User Services SIGUCCS,C
ACM Special Interest Group on Computer Science Education Conference SIGCSE,A
ACM Special Interest Group on Management of Data Conference SIGMOD,A
ACM Special Interest Group on Supporting Group Work (was SIGGRoup) Group,B
ACM Symposium of Mobile and Ad Hoc Computing MOBIHOC,A
ACM Symposium on Applied Computing SAC,B
ACM Symposium on Computational Geometry SCG,A
"ACM Symposium on Information, Computer and Communications Security AsiaCCS",B
ACM Symposium on Principles of Database Systems SPDS,C
ACM Symposium on Principles of Distributed Computing PODC,A
ACM Symposium on Solid and Physical Modelling SPM,B
ACM Symposium on Theory of Computing STOC,A
ACM Symposium on User Interface Software and Technology UIST,A
ACM Virtual Reality Software and Technology VRST,A
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code FMSE,C
ACM Workshop on Hot Topics in Networks HOTNETS,A
ACM Workshop on Hot Topics in Software Upgrades HotSWUp,C
ACM Workshop on Role Based Access Control (now SACMAT) RBAC,C
ACM Workshop on Scalable Trusted Computing STC,B
ACM Workshop on Secure Web Services SWS,C
ACM Workshop on Web Information and Data Management WIDM,B
ACM/IEEE International Conference on Distributed Smart Cameras ICDSC,B
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems MSWIM",A
ACM/IEEE Supercomputing Conference SC,A
ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation PADS,B
ACM/IFIP/USENIX International Middleware Conference Middleware,A
ACM/SIAM Symposium on Discrete Algorithms SODA,A
ACM/SPIE Multimedia Computing and Networking MMCN,A
ACM-SIGACT Symposium on Principles of Programming Languages POPL,A
ACM-SIGMIS CPR Conference ACM-SIGMIS CPR,B
ACM-SIGPLAN Conference on Programming Language Design and Implementation PLDI,A
ACM-SIGRAPH Interactive 3D Graphics I3DG,A
ACS/IEEE International Conference on Computer Systems and Applications AICCSA,C
Active and Real-Time Database Systems ARTDB,C
Ada-Europe International Conference on Reliable Software Technologies EuAda,B
Advanced Concepts for Intelligent Vision Systems ACIVS,B
Advanced Course on Artificial Intelligence ACAI,C
Advanced Research in VLSI ARVLSI,C
Advanced Video and Signal Based Surveillance AVSS,B
Advanced Visual Interfaces AVI,B
Advances in Cryptology CRYPTO,A
Advances in Information Systems ADVIS,C
Advances in Intelligent Systems AIS,C
Advances in Modal Logic AiML,A
Advances in Neural Information Processing Systems NIPS,A
Advances in the Theory of Computing AITC,C
Agent-Oriented Information Systems Workshop AOIS,B
Agent-Oriented Software Engineering Workshop AOSE,C
AIAA Aerospace Sciences Meeting,B
AIChE Annual Meeting,C
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour) AISB,B
Algebraic Methodology and Software Technology AMAST,C
Algorithmic Learning Theory ALT,A
Algorithms and Complexity in Durham ACID,C
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures) WADS,A
Ambient Information Systems AIS,B
Ambient Intelligence Developments Aml.d,C
American Association of Cost Engineers Annual Meeting AACE,A
American Federation of Information Processing Societies AFIPS,C
"American Society for Heating, Refrigeration and Air Conditioning ASHRAE",A
American Society of Mechanical Engineering,A
Americas Conference on Information Systems AMCIS,A
Americas Conference on Wind Engineering,B
Annual Computer Security Applications Conference ACSAC,A
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education ASCILITE,C
Annual Conference of the Australian Acoustical Society,A
Annual Conference of the Cognitive Science Society CogSci,A
Annual Conference of the European Association for Computer Science Logic CSL,C
Annual Conference of the International Academy for Information Management IAIM,C
Annual Conference of the International Speech Communication Association (was Eurospeech) Interspeech,A
Annual Conference on Computational Learning Theory COLT,A
Annual Conference on Evolutionary Programming EP,C
Annual Conference on Innovation and Technology in Computer Science Education ITiCSE,A
"Annual Conference on Privacy, Security and Trust PST",C
"Annual Convention for Survey, Mapping and Remote Sensing RS",C
Annual Fall Workshop on Computational Geometry CGW,C
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,A
Annual International Conference on Ada TRI-Ada,C
Annual International Workshop on Presence PRESENCE,B
Annual Meeting of the Decision Sciences Institute DSI,C
Annual PKI,D
Annual PPIG Workshop PPIG,B
Annual Simulation Symposium ANSS,C
